descricao;preco;ano;km_rodado;localizacao
Volkswagen Gol 1.6 Msi Totalflex 4p Manual;52.990;2019;101.400 Km;Belo Horizonte
Jeep Compass 2.0 16v Diesel S 4x4 Automático;134.900;2020;101.400 Km;Belo Horizonte
Fiat Cronos 1.8 E.torq Flex Precision At6;69.990;2019;101.400 Km;Belo Horizonte
Mitsubishi Asx 2.0 Oneill 4x2 16v Gasolina 4p Automático;70.900;2016;101.400 Km;Belo Horizonte
Renault Duster 1.6 Expression 4x2 16v Flex 4p Manual;60.990;2016;101.400 Km;Belo Horizonte
Ford Ecosport 2.0 16v Freestyle Flex Powershift 5p;55.900;2015;101.400 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Total Flex 5p;49.900;2019;101.400 Km;Belo Horizonte
Fiat Siena 1.0 El Flex 4p;31.900;2012;101.400 Km;Belo Horizonte
Volkswagen Gol 1.0 Total Flex 5p;31.990;2013;101.400 Km;Belo Horizonte
Fiat Uno 1.4 Sporting Flex 5p;40.000;2014;101.400 Km;Belo Horizonte
Volkswagen Gol 1.6;35.900;2013;101.400 Km;Belo Horizonte
Hyundai Tucson 1.6 Gls Turbo Gdi Aut. 5p;102.900;2018;101.400 Km;Belo Horizonte
Chevrolet Celta 1.0 Lt Flex Power 5p;31.900;2014;101.400 Km;Belo Horizonte
Volkswagen Gol 1.0 Ecomotion(g4) (flex) 4p;31.900;2013;101.400 Km;Belo Horizonte
Ford Fiesta 1.6 Se Plus Hatch 16v Flex 4p Powershift;51.900;2017;101.400 Km;Belo Horizonte
Ford Fiesta 1.0 Rocam S Flex 5p;28.950;2014;101.400 Km;Belo Horizonte
Mercedes-benz Glc 250 2.0 Cgi Gasolina Coupé 4matic 9g-tronic;264.900;2018;101.400 Km;Belo Horizonte
Fiat Cronos 1.8 Precision 16v Flex Aut. 4p;66.900;2019;101.400 Km;Belo Horizonte
Ford Focus 2.0 Se Flex Powershift 5p;50.000;2015;101.400 Km;Belo Horizonte
Volkswagen Jetta 2.0 Trendline Flex 4p;62.900;2015;101.400 Km;Belo Horizonte
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual;33.900;2012;101.400 Km;Belo Horizonte
Volkswagen Gol 1.0 Giv;29.900;2013;101.400 Km;Belo Horizonte
Fiat Palio 1.0 Attractive Flex 5p;32.900;2012;101.400 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Total Flex 5p;51.900;2020;101.400 Km;Belo Horizonte
Fiat Cronos 1.3 Drive Gsr Flex 4p;64.000;2020;101.400 Km;Belo Horizonte
Chevrolet Onix 1.0 Lt 5p;51.000;2018;101.400 Km;Belo Horizonte
Ford Focus Sedan 2.0 Se Flex Aut. 4p;50.000;2015;101.400 Km;Belo Horizonte
Volkswagen Gol 1.0 Total Flex 3p;27.500;2013;101.400 Km;Belo Horizonte
Volkswagen Virtus 1.0 Highline 200 Tsi Aut. 4p 6 Marchas;90.900;2021;101.400 Km;Belo Horizonte
Chevrolet Corsa 1.4 Mpfi Maxx 8v Flex 4p Manual;32.900;2012;101.400 Km;Belo Horizonte
Volkswagen Voyage 1.6 16v Msi Totalflex 4p Automático;63.000;2019;101.400 Km;Belo Horizonte
Fiat Argo 1.0 Flex 5p;53.900;2020;101.400 Km;Belo Horizonte
Hyundai Hb20 1.0 Unique Flex 5p;52.900;2019;101.400 Km;Belo Horizonte
Volkswagen Voyage 1.6 Vht Total Flex I-motion (new) 4p;38.900;2014;101.400 Km;Belo Horizonte
Ford Focus Sedan 2.0 S Flex Aut. 4p;49.900;2015;101.400 Km;Belo Horizonte
Chevrolet Celta 1.0l Lt;30.900;2013;101.400 Km;Belo Horizonte
Fiat Palio 1.0 Fire Flex 5p;31.900;2015;101.400 Km;Belo Horizonte
Mercedes-benz S 63 Amg 5.5 V8 Bi-turbo Gasolina Coupé 2p Automático;545.000;2016;101.400 Km;Belo Horizonte
Honda Hr-v Hr-v Ex 1.8 Flexone 16v 5p Aut;83.900;2016;101.400 Km;Belo Horizonte
Honda Hr-v Hr-v Exl Cvt;105.900;2019;101.400 Km;Belo Horizonte
Fiat Uno Way Celeb. 1.0 Evo Fire Flex 8v 5p;44.900;2016;101.400 Km;Belo Horizonte
Volkswagen T-cross 1.0 Comfortline 200 Tsi Aut. 5p;96.990;2020;101.400 Km;Belo Horizonte
Toyota Corolla Gli 2.0;107.900;2019;101.400 Km;Belo Horizonte
Chevrolet Cobalt 1.4 Mpfi Ltz 8v Flex 4p Manual;38.890;2014;101.400 Km;Belo Horizonte
Toyota Hilux Sw4 Sr 4x2 2.7/ 2.7 Flex 16v Aut.;115.900;2015;101.400 Km;Belo Horizonte
Toyota Corolla 1.8 16v Gli Flex 4p;79.900;2015;101.400 Km;Belo Horizonte
Volvo Xc60 2.0 T5 Rd Turbo Gasolina 4p Automático;89.900;2015;101.400 Km;Belo Horizonte
Toyota Hilux 3.0 Srv 4x4 Cd 16v Turbo Intercooler Diesel 4p Automático;125.900;2013;101.400 Km;Belo Horizonte
Land Rover Evoque 2.0 Si4 Se 5p;119.990;2016;100.000 Km;Governador Valadares
Nissan Sentra 2.0 Sl 16v Flex 4p Automático;58.990;2015;100.000 Km;Governador Valadares
Hyundai Santa Fe 3.3 Mpfi 4x4 V6 270cv Gasolina 4p Automático;95.900;2015;100.000 Km;Governador Valadares
Nissan March 1.0 12v Sv 5p;43.900;2015;100.000 Km;Governador Valadares
